policy_id,country_iso,country_update,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,last_update,impact_indicators.comments,impact_indicators.name,impact_indicators.value,impact_indicators.base_year,impact_indicators.target_year
211000036,JPN,Annual,Automobile Industry Stategy Japan (2014),Automobile Industry Stategy,Country,,Japan,,,Strategic planning,"Transport, Low-emissions mobility, Light-duty vehicles","The Japan Revitalization Strategy Revised in 2015 (Cabinet approval on June 30th, 2015) states “(Next-generation automobiles) aim to increase the share of new automobiles accounted for by next-generation automobiles to between 50 % and 70 % by 2030”. This was followed by the “2014 Automobile Industry Strategy” of the Ministry of Economy, Trade and Industry METI. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,,In force,2014,,,Unknown,Mitigation,https://www.iea.org/policies/2690-2014-automobile-industry-stategy?country=Japan&qs=japan,,,,,,
211000037,RUS,Annual,Decree on the Action Plan for 2020 Russian Federation (2014),Decree on the Action Plan for 2020,Country,,Russian Federation,,,"Policy support, Strategic planning",General,"""The Act was issued pursuant to the Decree of the President of the Russian Federation of 30 September 2013 No. 752 ""About emission reduction of greenhouse gases"" in order to adopt an action plan on GHG emission reduction to the level of no more than 75% of the 1990 levels for 2020; the action plan contains three groups of measures which should be assumed: 1. developing a system of evaluating greenhouse gas emissions; 2. performing evaluation and forecast greenhouse gas emissions for the period up to 2020 and up to 2030, including an assessment of the potential reduction in emissions by sector; 3. measures of state regulation of greenhouse gas emissions."" (Source: Asia Pacific Energy)","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use, Other low-carbon technologies and fuel switch",,In force,2014,,,Unknown,Mitigation,https://policy.asiapacificenergy.org/node/2170,,,,,,
211000038,GBR,Annual,Sector Resilience Plans: Energy United Kingdom (2014),Sector Resilience Plans: Energy,Country,,United Kingdom,,,Strategic planning,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use, Other low-carbon technologies and fuel switch",,In force,2014,,,Unknown,Mitigation,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/370156/20141103_Summary_sector_resilience_plan_2014.pdf,,,,,,
211000039,USA,Annual,2015 IECC with Amendments (Massachusetts) United States of America (2017),2015 IECC with Amendments (Massachusetts),Subnational region,,United States of America,Massachusetts,,Building codes and standards,"Buildings, Construction",,Energy efficiency,,In force,2017,,,Unknown,Mitigation,https://www.iea.org/policies/7077-2015-iecc-with-amendments-massachusetts?country=United%20States&qs=united,,,,,,
211000040,USA,Annual,2015 IECC with Amendments (Pennsylvania) United States of America (2018),2015 IECC with Amendments (Pennsylvania),Subnational region,,United States of America,Pennsylvania,,Building codes and standards,"Buildings, Construction","Commercial Energy Efficiency Code
Application to replacement fenestration products IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2018,,,Unknown,Mitigation,https://www.iea.org/policies/7125-2015-iecc-with-amendments-pennsylvania?country=United%20States&qs=united,,,,,,
211000041,USA,Annual,2015 IECC with Amendments - Commercial Building Code (Virginia) United States of America (2018),2015 IECC with Amendments - Commercial Building Code (Virginia),Subnational region,,United States of America,Virginia,,Building codes and standards,"Buildings, Construction",,Energy efficiency,,In force,2018,,,Unknown,Mitigation,https://www.iea.org/policies/7137-2015-iecc-with-amendments-commercial-building-code-virginia?country=United%20States&qs=united,,,,,,
211000042,USA,Annual,2015 IECC with Amendments - Residential Building code (Virginia) United States of America (2018),2015 IECC with Amendments - Residential Building code (Virginia),Subnational region,,United States of America,Virginia,,Building codes and standards,"Buildings, Construction",,Energy efficiency,,In force,2018,,,Unknown,Mitigation,https://www.iea.org/policies/7138-2015-iecc-with-amendments-residential-building-code-virginia?country=United%20States&qs=united,,,,,,
211000043,USA,Annual,2015 IECC with Amendments - State Building Code (Pennsylvania) United States of America (2018),2015 IECC with Amendments - State Building Code (Pennsylvania),Subnational region,,United States of America,Pennsylvania,,Building codes and standards,"Buildings, Construction",,Energy efficiency,,In force,2018,,,Unknown,Mitigation,https://www.iea.org/policies/7124-2015-iecc-with-amendments-state-building-code-pennsylvania?country=United%20States&qs=united,,,,,,
211000044,USA,Annual,CAFE/GHG Rule United States of America (2017),CAFE/GHG Rule,Country,,United States of America,,,Vehicle fuel-economy and emissions standards,"Transport, Light-duty vehicles","U.S. Tier 3 standards phase in from 2017–2025 and apply to vehicles up to 14,000 lbs gross vehicle weight. Once fully phased-in, Tier 3 tailpipe PM and NOx+NMOG emission limits for light- and medium-duty passenger vehicles are the most stringent in the world. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,Ended,2017,,,Unknown,Mitigation,https://www.iea.org/policies/8477-2017-2025-cafeghg-rule?country=United%20States&qs=united,,,,,,
211000045,USA,Annual,North Carolina Commercial Building Code United States of America (2019),North Carolina Commercial Building Code,Subnational region,,United States of America,North Carolina,,Building codes and standards,"Buildings, Construction","See reference below for details. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2019,,,Unknown,Mitigation,https://www.iea.org/policies/7119-2018-north-carolina-commercial-building-code-based-on-the-2015-iecc-with-amendments?country=United%20States&qs=united,,,,,,
211000046,EUE,Annual,2020 Climate and Energy Package European Union (27) (2009),2020 Climate and Energy Package,Country,,European Union,,,"Climate strategy, Formal & legally binding climate strategy, Energy efficiency target, Formal & legally binding energy efficiency target, GHG reduction target, Formal & legally binding GHG reduction target, Renewable energy target, Formal & legally binding renewable energy target",General,"The 20-20-20 targets include: Reduction of EU GHG emissions by at least 20% below 1990 levels by 2020; 20% of EU energy consumption to come from renewable resources by 2020; 20% reduction in primary energy use compared with projected levels, by improving Energy efficiency
This package contains Directive 2009/29/EC, Directive 2009/28/EC, Directive 2009/31/EC and Decision No. 406/2009/EC of the Parliament and the Council","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,Ended,2009,,2020,High,Mitigation,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=LEGISSUM:2001_8,,"last two targets expressed as: Maximum primary energy (Mtoe), Maximum final energy (Mtoe)","GHG emissions reduction (%), Energy efficiency improvement target (%), Share of renewables (%), Energy efficiency improvement target (%), Energy efficiency improvement target (%)","20, 20, 20, 1483, 1086","1990, 0, , ,","2020, 2020, 2020, 2020, 2020"
211000047,JPN,Annual,2030 Outlook for Energy Supply and Demand Japan (2015),2030 Outlook for Energy Supply and Demand,Country,,Japan,,,"Strategic planning, Energy efficiency target, Political & non-binding energy efficiency target, Renewable energy target, Political & non-binding renewable energy target",Electricity and heat,"""Based on the Strategic Energy Plan, the Long-term Energy Supply and Demand Outlook presents the ideal structure of energy supply and demand that can be realized if appropriate measures are taken based on the fundamental direction of energy policies by envisioning policy objectives to be achieved on safety, energy security, economic efficiency, and environment, which are the basic ideas of the policies.
""Based on the policies stipulated in the Strategic Energy Plan, which the Cabinet approved in April 2014, METI established the Long-term Energy Supply and Demand Subcommittee under the Strategic Policy Committee of the Advisory Committee for Natural Resources and Energy in order to consider a future vision of a realistic, yet well-balanced energy supply and demand structure. So far, a total of 11 meetings on these matters have been held.
""METI has approved the Long-term Energy Supply and Demand Outlook based on the report compiled by the subcommittee.""
The energy and demand outlook for 2030 serves as de facto energy efficiency and renewable energy targets. For renewable energy, it is described that Japan will aim to increase the share of renewables in total electricity generation to 22-24% by 2030. For energy efficiency, it is described that Japan will aim to reduce its final energy use by about 10%, from 361 million kl crude oil equivalent (coe) in 2010 to 326 million kl coe in 2030.
Original title: ????????????. For the primary energy supply, the envision structure for FY2030 is as follows: renewables 13-14%,Nuclear power: 10-11%, Natural gas: 18%, Coal: 25%, LPG: 3%, Oil 30%. For the power source mix, the structure is for FY2030 is as follows: Renewables: 22-24%, Nuclear power 20-22%, LNG: 27%, Coal: 26%, Oil 3%. Renewables are divided into: Geothermal: 1-1.1%; Biomass: 3.7-4.6%, Wind: 1.7%; Solar: 7%; Hydro: 8.8-9.2%. With a projection of economic growth at 1.7%/year, energy efficiency and conservation measures are also expected to allow a 196.1 bn kWh reduction (reduction of 17%).
Japan's INDC is developed based on this Long-Term Energy Supply and Demand Outlook.
(Source: http://www.meti.go.jp/english/press/2015/0716_01.html)","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,In force,2015,,2030,High,"Mitigation, Energy security",https://www.enecho.meti.go.jp/en/category/others/basic_plan/pdf/6th_outline.pdf,,"Energy efficiency target in final energy decrease (%), Energy efficiency target in final energy decrease (PJ)","Energy efficiency improvement target (%), Energy efficiency target (J/US$)","10, 1397","2010, 2010","2030, 2030"
211000049,EUE,Annual,2030 framework for climate and energy policies (strategic document) European Union (27) (2014),2030 framework for climate and energy policies (strategic document),Country,,European Union,,,"Climate strategy, Formal & legally binding climate strategy, Energy efficiency target, Formal & legally binding energy efficiency target, GHG reduction target, Formal & legally binding GHG reduction target, Renewable energy target, Formal & legally binding renewable energy target",General,"The main targets of the framework are as follows:
- a 40% cut in greenhouse gas emissions compared to 1990 levels;
- at least a 27% share of renewable energy consumption;
- at least 27% energy savings compared with the business-as-usual scenario
This framework also proposes the implementation of a reformed EU-ETS.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2014,2014,,High,Mitigation,http://ec.europa.eu/energy/en/topics/energy-strategy/2030-energy-strategy,,"GHG emissions reduction (%), Share of renewables in TPES (%), Energy efficiency improvement target (%), Maximum primary energy (Mtoe), Maximum final energy (Mtoe), Decrease in final energy consumption (%), Decrease in gas imports (%)","GHG emissions reduction (%), Share of renewables (%), Energy efficiency improvement target (%), Energy efficiency improvement target (%), Energy efficiency improvement target (%), Energy efficiency improvement target (%), Energy efficiency improvement target (%)","40, 27, 32.5, 1273, 956, 28, 17","1990, , 0, , , 2010, 2010","2030, 2030, 2030, 2030, 2030, 2030, 2030"
211000050,USA,Annual,21st Century Truck Partnership United States of America (2000),21st Century Truck Partnership,Country,,United States of America,,,"Negotiated agreements (public-private sector), Demonstration project, Research programme, Technology deployment and diffusion, Technology development, Research & Development and Deployment (RD&D), Voluntary approaches","Transport, Shipping",,Energy efficiency,,In force,2000,,,Unknown,Mitigation,https://www.energy.gov/eere/vehicles/21st-century-truck-partnership,,,,,,
211000051,DEU,Annual,250 MW Wind Programme Germany (1989),250 MW Wind Programme,Country,,Germany,,,Grants and subsidies,"Electricity and heat, Renewables",,Renewables,,Ended,1989,,2006,Unknown,Mitigation,http://www.jrc.es/cfapp/eneriure/Tables/GERtables.pdf,,,,,,
211000052,KOR,Annual,"2nd Basic Plan for NRE Technology Development, Utilisation and Deployment Republic of Korea (2003)","2nd Basic Plan for NRE Technology Development, Utilisation and Deployment",Country,,Republic of Korea,,,"Direct investment, Loans, Policy support, Strategic planning, Research & Development and Deployment (RD&D)","Electricity and heat, Renewables",,Renewables,,Ended,2003,,2013,Unknown,Mitigation,https://climate-laws.org/geographies/south-korea/laws/act-on-the-promotion-of-the-development-use-and-diffusion-of-new-and-renewable-energy,,,,,,
211000053,KOR,Annual,2nd Comprehensive Action Plan for Climate Change Policy Republic of Korea (2002),2nd Comprehensive Action Plan for Climate Change Policy,Country,,Republic of Korea,,,"Climate strategy, Policy support, Political & non-binding climate strategy",General,The plan is described in South Korea's National Communications.,"Energy service demand reduction and resource efficiency, Renewables, Energy efficiency, Other low-carbon technologies and fuel switch, Non-energy use",,Superseded,2002,,2004,Unknown,Mitigation,http://unfccc.int/resource/docs/natc/kornc3.pdf,,,,,,
211000054,GBR,Annual,2nd National Energy Effciency Action Plan United Kingdom (2011),2nd National Energy Effciency Action Plan,Country,,United Kingdom,,,Strategic planning,General,,Energy efficiency,,Superseded,2011,,,Unknown,Mitigation,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/48144/2289-uk-report-eu-enduse-esd.pdf,,,,,,
